,name,price,address,lease_type,house_type,lease_start_year,district_code,near_stat,near_stat_mins,bdrm,bath,sqm,sqft
2237,2 Bed Condo in The Sterling,4500.0,1001 Bt Timah Rd ,Freehold,Condominium,2001,21,King Albert Park,2,2,3,94.85,1021
2238,2 Bed HDB in 64 Marine Drive,3500.0,None,Lease_99,HDB,1976,0,,-1,2,1,69.68,750
2239,2 Bed HDB in 64 Marine Drive,3500.0,None,Lease_99,HDB,1976,0,,-1,2,1,71.07,765
2240,2 Bed Condo in Lake Grande,3900.0,2 Jurong Lake Link ,Lease_99,Condominium,2020,22,Lakeside,5,2,2,,775
2241,3 Bed HDB in 7 Tanjong Pagar Plaza,4300.0,None,Unknown,HDB,1980,0,Tanjong Pagar,4,3,1,89.93,968
2242,4 Bed Condo in The Oceanfront @ Sentosa Cove,19900.0,291 Ocean Dr ,Lease_99,Unknown,0,4,,-1,4,4,371.61,4000
2243,5 Bed House on Clementi Park,15888.0, Sunset Way ,Freehold,Good_Class_Bungalow,1985,21,,-1,5,4,371.61,4000
2244,3 Room HDB in 524A Pasir Ris Street 51,4000.0,None,Lease_99,HDB,2015,0,Pasir Ris,3,3,2,,1001
2245,7 Bed House on Kim Lin Park,25000.0, Jln Kelawar ,Freehold,Unknown,-1,10,,-1,7,9,603.87,6500
2246,3 Bed Condo in Lloyd Sixtyfive,15000.0,65 Lloyd Rd ,Freehold,Condominium,2017,9,Somerset,4,3,4,225.01,2422
2247,4 Bed Condo in Ardmore Residence,28000.0,7 Ardmore Pk ,Freehold,Condominium,2013,10,,-1,4,5,295.9,3185
2248,1 Bed Condo in The Scotts Tower,5200.0,38 Scotts Rd ,Unknown,Unknown,0,9,Newton,5,1,1,61.97,667
2249,4 Bed Condo in Alba,14000.0,8 Cairnhill Rise ,Freehold,Condominium,2015,9,,-1,4,4,213.96,2303
2250,4 Bed Condo in The Colonnade,18500.0,82 Grange Rd ,Freehold,Condominium,1986,10,,-1,4,5,371.61,4000
2251,4 Bed Condo in Hana,26000.0,8 Tomlinson Rd ,Lease_99,HDB,2013,10,,-1,4,5,329.99,3552
2252,3 Bed Exec Condo in The Floravale,4499.0,238 Westwood Ave ,Lease_99,Condominium,2000,22,,-1,3,3,124.03,1335
2253,4 Bed Condo in Lotus at Paya Lebar (East Wing),6134.0,11 Paya Lebar Rd ,Freehold,Condominium,2014,14,Paya Lebar,4,4,2,,1324
2254,Studio Condo in Lotus at Paya Lebar (East Wing),2660.0,11 Paya Lebar Rd ,Freehold,Condominium,2014,14,Paya Lebar,4,,1,32.98,355
2255,4 Bed Condo in The Orchard Residences,24000.0,238 Orchard Boulevard ,Lease_99,Condominium,2010,9,Orchard,1,4,4,264.96,2852
2256,5 Bed House on Hong Leong Garden,10500.0, West Coast Rise ,Unknown,Unknown,956,5,,-1,5,4,353.03,3800
2257,1 Bed Condo in Pastoral View,3300.0,7 Bassein Rd ,Freehold,HDB,1986,11,Novena,7,1,2,57.04,614
2258,3 Room HDB in 93 Whampoa Drive,3000.0,None,Lease_99,HDB,1974,0,,-1,2,1,58.06,625
2259,2 Bed Condo in The Clift,5200.0,21 Mccallum St ,Lease_99,Unknown,0,1,Telok Ayer,4,2,2,,775
2260,3 Bed Condo in Kovan Melody,5499.0,37 Kovan Rd ,Lease_99,Condominium,2006,19,Kovan,3,3,3,130.99,1410
2261,4 Room HDB in 12B Marsiling Lane,3000.0,None,Lease_99,HDB,2013,0,,-1,3,2,90.95,979
2262,2 Bed Condo in The Peak @ Cairnhill II,8500.0,61 Cairnhill Circle ,Freehold,HDB,2015,9,Newton,6,2,2,175.03,1884
2263,2 Bed Condo in Sea Esta,3400.0,18 Pasir Ris Link ,Lease_99,Condominium,2015,18,,-1,2,2,75.99,818
2264,1 Bed Condo in Skyline Residences,3500.0,612 Telok Blangah Rd ,Freehold,Condominium,2015,4,Telok Blangah,4,1,1,44.97,484
2265,5 Bed House on Sunset Way,15888.0, Sunset Way ,Unknown,Good_Class_Bungalow,0,21,,-1,5,4,390.19,4200
2266,2 Bed Condo in Canberra Residences,3000.0,505 Canberra Dr ,Lease_99,Unknown,0,27,,-1,2,2,79.99,861
2267,3 Bed Condo in Orchard Scotts,13600.0,7 Anthony Rd ,Lease_99,Unknown,0,9,Newton,4,3,3,193.98,2088
2268,3 Bed Condo in Leedon 2,5000.0,2 Leedon Rd ,Freehold,Condominium,1997,10,Holland Village,1,3,2,103.03,1109
2269,7 Bed House on Bukit Villas,14500.0, Rasok Dr ,Freehold,Terraced_House,2009,25,,-1,7,9,548.13,5900
2270,3 Bed Condo in Duet,7500.0,78 Holland Rd ,Freehold,Condominium,2005,10,,-1,3,3,162.02,1744
